GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
se15,at.aau.ue5.bsp1.service,InvoiceServiceImpl,150,0,12,0,42,0,20,0,14,0
se15,at.aau.ue5.bsp4,Order,24,0,0,0,10,0,7,0,7,0
se15,at.aau.ue5.bsp4,Customer,24,0,0,0,10,0,7,0,7,0
se15,at.aau.ue5.bsp4,Item,24,0,0,0,10,0,7,0,7,0
se15,at.aau.ue5.bsp4,SmellyClass,118,0,10,0,28,0,10,0,5,0
se15,at.aau.ue5.bsp3,Architekt,12,0,0,0,5,0,4,0,4,0
se15,at.aau.ue5.bsp3,test,34,0,0,0,11,0,2,0,2,0
se15,at.aau.ue5.bsp3,Ide,21,0,0,0,2,0,1,0,1,0
se15,at.aau.ue5.bsp3,Tester,12,0,0,0,5,0,4,0,4,0
se15,at.aau.ue5.bsp3,Feld,15,0,0,0,2,0,1,0,1,0
se15,at.aau.ue5.bsp3,Entwickler,26,0,0,0,11,0,8,0,8,0
se15,at.aau.ue5.bsp3,PersonFactory,42,0,0,0,15,0,12,0,12,0
se15,at.aau.ue5.bsp1.service.exception,InvoiceServiceException,7,0,0,0,4,0,2,0,2,0
se15,at.aau.ue5.bsp5,Fraction,9,95,4,16,1,19,4,15,1,8
se15,at.aau.ue5.bsp5,MyMath,0,103,0,6,0,16,0,11,0,8
se15,at.aau.ue5.bsp1.dao.impl,AbstractListDao,0,8,0,0,0,2,0,1,0,1
se15,at.aau.ue5.bsp1.dao.impl,ListProductDao,0,118,0,16,0,31,0,14,0,6
se15,at.aau.ue5.bsp1.dao.impl,ListInvoiceDao,0,118,0,16,0,31,0,14,0,6
se15,at.aau.ue5.bsp1.dao.impl,ListCustomerDao,0,145,0,20,0,37,0,17,0,7
se15,at.aau.ue5.bsp2,CashMachine,0,187,0,28,0,50,0,21,0,7
se15,at.aau.ue5.bsp2,CashMachineState,0,57,0,0,0,2,0,1,0,1
se15,at.aau.ue5.bsp1.entity,Product,113,45,24,6,30,16,21,5,7,4
se15,at.aau.ue5.bsp1.entity,Invoice,151,48,32,6,40,17,27,5,9,4
se15,at.aau.ue5.bsp1.entity,Customer,110,48,24,6,29,17,20,6,6,5
